State,Installed Capacity
Andhra Pradesh,2565.36
Arunachal Pradesh,5.39
Assam,12.7
Bihar,142.45
Chhattisgarh,231.35
Goa,0.91
Gujarat,1637.15
Haryana,216.85
Himachal Pradesh,3.36
Jammu and Kashmir,9.85
Jharkhand,31.78
Karnataka,5163.42
Kerala,138.49
Madhya Pradesh,1321.81
Maharashtra,1419.18
Manipur,2.17
Meghalaya,0.06
Mizoram,0.2
Nagaland,1
Odisha,110.25
Punjab,905.62
Rajasthan,2360.75
Sikkim,0.01
Tamil Nadu,2220.95
Telangana,3401.13
Tripura,5.09
Uttar Pradesh,739.41
Uttaranchal,302.99
West Bengal,37.97
Andaman and Nicobar,6.56
Chandigarh,30.35
Dadra and Nagar Haveli,5.46
Daman and Diu,13.01
Delhi,69.57
Lakshwadeep,0.75
Puducherry,1.71